file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t041.tif,Cell type 1_400,279.906,334.645,20.4402857143,26.833,20.4508,26.7325,8.11273,6.58782,10.3989
t041.tif,Cell type 1_401,375.411,250.528,22.0718571429,27.5711,21.1062,25.2643,8.19621,6.56751,8.99018
t041.tif,Cell type 1_410,396.355,387.345,19.2452857143,28.1141,21.3145,28.0593,8.32022,6.42069,7.25888
t041.tif,Cell type 1_411,477.163,341.005,16.1855714286,27.4122,21.7109,27.4122,11.0774,6.42896,7.62776
t041.tif,Cell type 1_300,432.189,257.353,9.5164571429,23.5313,26.0016,22.2922,3.19321,4.57,6.53214
t041.tif,Cell type 1_301,535.203,232.22,10.8241,23.2609,25.1869,21.9001,4.47694,4.73093,7.12715
t041.tif,Cell type 1_2000,205.112,274.081,8.5879571429,24.7347,20.3071,22.5175,9.69746,3.49693,8.85422
t041.tif,Cell type 1_2001,326.523,271.051,8.4805857143,24.5955,19.845,20.9816,8.97933,3.18544,8.10066
t041.tif,Cell type 1_2010,305.331,390.286,10.6468714286,24.1406,20.7181,21.6958,9.04886,5.53167,8.83093
t041.tif,Cell type 1_2011,420.056,368.843,9.7359857143,23.9546,20.8504,20.7214,9.79033,3.86413,9.25573
t041.tif,Cell type 1_1000,124.497,253.687,19.9265714286,23.3304,25.1563,20.1252,5.97299,6.74847,8.8751
t041.tif,Cell type 1_1001,163.524,189.766,10.9071714286,22.0421,25.6188,20.6465,6.81509,6.987,8.93194
t041.tif,Cell type 1_1100,211.537,199.284,23.2962857143,22.4056,24.9146,21.8478,7.64153,6.85775,7.43032
t041.tif,Cell type 1_1101,291.905,145.969,21.8168571429,23.074,24.4641,20.7663,7.99266,7.25272,8.47282
t041.tif,Cell type 1_1010,177.072,337.08,22.4152857143,21.0399,24.1628,21.0399,8.14262,7.68294,5.87498
t041.tif,Cell type 1_1011,213.871,384.934,11.9026285714,22.085,24.0097,21.0683,9.32444,8.88809,6.32147
t041.tif,Cell type 1_1110,250.108,151.2,11.7852285714,19.8869,24.9047,19.8869,7.16709,7.94513,10.6562
t041.tif,Cell type 1_1111,394.805,159.782,9.6399142857,19.7612,24.2048,19.7612,9.00704,7.83539,10.5171
t041.tif,Cell type 1_310,528.534,369.934,21.7692857143,22.6723,23.9954,21.8145,5.08429,4.41017,8.18289
t041.tif,Cell type 1_311,589.148,305.841,16.7721428571,22.2603,22.839,20.8266,5.31189,5.04985,8.23279
t041.tif,Cell type 1_2100,382.57,107.323,20.1652857143,23.0754,19.1089,20.3857,9.38314,3.68593,8.60711
t041.tif,Cell type 1_2101,502.05,142.26,15.6284285714,22.3638,19.5755,21.6557,9.9537,3.36856,8.32933
t041.tif,Cell type 1_2110,460.493,183.146,24.372,25.1309,20.7287,21.666,11.059,9.54691,11.7607
t041.tif,Cell type 1_2111,546.352,248.259,22.5554285714,24.6595,21.907,20.6087,10.2739,8.33063,11.2024
